imie;nazwisko;miasto;ulica;nr;mieszkanie;data_ur;pesel
Kaja;CUTRI';Na Pagórze;ulica Cylichowska;39;98;27.08.1977;77082752618
Jakub;ELENWAJG;Zarzecze;ulica Kartezjusza;31;86;12.08.1995;95081275276
Weronika;SKROBOSIŃSKA;Kurzątkowice;ulica Macieja Rataja;78;34;01.01.1924;24010195295
Wojciech;AMIRYAN;Bronisławów;ulica Krasiczyńska;67;83;07.03.1965;65030772902
Kornelia;GAWECKA;Wymysłów;ulica Reszelska;16;19;11.05.1930;30051193593
Bartosz;ZABOREK;Witankowo;ulica Niewielka;1;90;22.09.1934;34092227113
Liliana;SCHÜTZE;Plutki;ulica Akademicka;85;77;09.05.1966;66050940375
Mikołaj;SEIFFERT;Szpitalka;ulica Mango;59;35;29.10.1978;78102972245
Mikołaj;LIASHEVSKYI;Samorządki;ulica Kuropatwy;43;58;12.01.1923;23011285913
Gabriela;ABEELUCK;Do Krzysztofka;Aleja Załogi Samolotu „Kościuszko”;12;25;07.12.1965;65120797634
Leon;GAŁCZYŃSKI;Kosyń;ulica Stanisława Skarżyńskiego;91;100;19.04.1974;74041991095
Gabriel;KOTUŚ;Ropelicha;ulica Strąkowa;17;5;05.04.1947;47040577351
Natalia;DEMBAL;Rzeki;ulica Tomasza Zana;11;55;02.11.1912;12110240180
Gabriela;GAJNA;Fujacy;ulica Eskimoska;6;64;15.05.1998;98051517142
Karol;GALDIN;Nowy Dwór;ulica Wełniana;55;70;25.12.1959;59122538305
Maja;MORDAS;Kulesze Kościelne;ulica Potockich;71;57;25.09.1997;97092529479
Tymoteusz;MROŚKIEWICZ;Trejgle;Skwer mjr. Bolesława Kontryma „Żmudzina”;46;58;29.12.1999;99122965805
Małgorzata;GĘBORSKI;Trzebionka;ulica Dziennikarska;14;27;20.01.1984;84012037945
Laura;VYSOTSKIS;Popowice;ulica Przestronna;67;32;25.07.1942;42072534843
Karol;KAŁAMAJKO;Chylin;ulica Leszowa;78;15;07.11.1911;11110796632
Stanisław;POCHODA;Kłonowiec-Kurek;ulica Kalinowa;67;33;09.04.1988;88040949158
Wiktor;BAHRIY;Grodzkie;ulica Księcia Trojdena;36;66;21.02.1972;72022134120
Mikołaj;POTERAŁOWICZ;Topiele;Rondo Powstania Węgierskiego'56;14;46;04.09.1907;07090415424
Julian;GRĄDZKI-MOLLAH;Skiwy Duże;ulica Bajońska;98;18;21.07.1951;51072116440
Wiktoria;PODKOŚCIELNY;Mechowo;ulica Rowowa;86;21;08.09.1937;37090878093
Karolina;KANASZ-WOŹNY;Nacław;ulica Leonida Teligi;14;58;14.01.1998;98011437768
Nikodem;KWARTOWICZ;Michalikówka;ulica Skwierzyńska;77;86;26.07.1949;49072626373
Alicja;BILGEN;Wikrowo;ulica Magenta;28;34;08.03.1962;62030869089
Kaja;BUHAGIAR;Gębkowa;ulica Skowronkowa;70;20;30.09.1984;84093033028
Laura;KARPALO;Marki;ulica Chylicka;29;19;25.03.1955;55032548046
Julia;LEANAVETS;Pałom;ulica Marii Rodziewiczówny;88;100;14.06.1989;89061415610
Julian;BUJAŃSKI;Łebieniec;ulica Parowozowa;58;25;27.08.1914;14082738481
Marcin;CHAŃCZEWSKI;Zimnochy-Susły;ulica Nenufarów;67;15;16.11.1906;06111642663
Patrycja;GŁOMBA;Wólka Piotrowska;ulica Makolągwy;52;42;03.11.1992;92110363282
Patryk;GWIZDŻ;Siedliszcze;ulica Grabiny;89;68;03.05.1937;37050342582
Zofia;SASON;Kaptury;ulica Glicynii;7;42;28.04.1967;67042878187
Ignacy;LOPETUSO;Kożuchówek;ulica Klarysewska;89;65;18.05.1926;26051850949
Oliwier;SYDOF;Strzegów;ulica Aleksandra Brücknera;87;86;08.01.1983;83010895559
Blanka;TOWTKIEWICZ;Pawlaki;ulica Stawy;72;92;19.06.1953;53061962476
Hubert;AYOKU;Brzeziny;ulica Arkadii;79;83;23.05.1943;43052366706
Tymon;INOKOMIS;Zamęt;ulica Goławicka;52;87;29.07.1943;43072964442
Helena;SZTRAUB;Żyrów;ulica Wągrowiecka;24;95;24.12.1919;19122446583
Oliwier;APTE;Adamowo;ulica Paproci;100;27;09.03.1939;39030912534
Nikola;TSOPANIDIS;Lubków;ulica Krobińska;16;64;09.07.1973;73070949092
Ewa;SYDORCHYK;Krzyżanki;Aleja gen. Antoniego Chruściela „Montera”;72;78;29.02.1994;94022955057
Jakub;PUSZMAN;Zagruszany;ulica Starozaciszańska;25;61;11.07.1996;96071158950
Laura;GĘSTY;Szczytniki Duchowne;ulica Rymanowska;63;86;05.09.1941;41090580664
Małgorzata;ZAMBEL;Kolonia Niedziałka;ulica Stefana Banacha;57;78;04.05.1959;59050436719
Małgorzata;BROWNRIDGE;Łazisko;ulica Przylaszczkowa;35;11;29.09.1923;23092939624
Blanka;HAFIZI;Podlesie;ulica Obarowska;10;34;10.06.1964;64061013237
Izabela;JORDANOW;Służewiec;ulica Leona Kruczkowskiego;48;88;19.08.1934;34081987651
Tymoteusz;ŻAK;Stare Boiska;ulica Koński Jar;78;42;22.04.1998;98042262560
Aleksandra;SZUCS;Gorzupia;ulica Borków;36;84;07.11.1959;59110791870
Alan;WASILAK;Opoki;ulica Piskląt;91;23;19.12.1955;55121966513
Miłosz;HRABI;Zamłynie;ulica Powojowa;52;57;16.10.1990;90101657230
Karolina;GOUIN;Dwór;ulica Warsa;83;95;05.09.1915;15090517732
Oliwia;TSZYDEL;Pod Capią Górą;ulica Bystra;93;23;14.04.1951;51041485980
Antonina;MOWNA;Borowo;ulica Wysokomazowiecka;54;16;21.12.1962;62122178976
Helena;KRETIUK;Łomianki Dolne;Skwer Ronalda Reagana;86;81;20.07.1980;80072088587
Antonina;WECHMANN;Doły;ulica Drewnicka;61;32;11.12.1986;86121120697
Filip;HARAUSKI;Osóweczek;ulica Osowska;85;78;19.07.1915;15071956666
Ewa;HUMA;Chobot;Rondo Mansweta Śmigielskiego;53;20;07.01.1973;73010762543
Martyna;RAUCHFLEISZ;Buczkówka;ulica Przyleśna;11;99;04.10.1907;07100425132
Patrycja;PODRUCZNA;Czajków;ulica Wzorzysta;53;57;17.06.1956;56061789233
Karolina;SIEMASZKO;Buczek-Kostków;ulica Łączyny;59;30;07.01.1927;27010725210
Helena;KOSOHLIAD;Edwardów;ulica Waligóry;66;17;07.03.1922;22030749106
Patrycja;EZEWUSI;Miszek;ulica Palmowa;9;62;17.05.1944;44051714767
Krystian;LICZEK;Podgórze;ulica Mieczysławy Ćwiklińskiej;32;80;08.04.1949;49040896858
Marta;POLEACEK;Felicjanów;ulica Dragonów;13;4;01.12.1954;54120153152
Krystian;JACZAK;Starbienino;ulica 1 Praskiego Pułku WP;3;79;24.05.1950;50052434357
Jagoda;BOZACKA;Włodzimierzów;ulica Emanuela Ringelbluma;87;67;17.09.1959;59091758672
Agata;MALENDA;Wołowe Lasy;Rondo Akademii Wychowania Fizycznego;73;32;17.10.1943;43101731781
Igor;CHOMKO VEL CHOMICKI;Prądy;ulica św. Wojciecha;73;69;24.12.1955;55122413774
Łucja;VOLLMŰLLER;Młynarczykówka;ulica ppłk. Mieczysława Sokołowskiego „Grzymały”;17;99;22.03.1943;43032216402
Marcelina;ZIELIK;Bielawy;ulica Chabrów;2;82;05.01.1906;06010565897
Kacper;MATSEVKO;Opole;ulica Agawy;94;58;06.05.1989;89050666025
Oskar;HAYNYSZ;Wertelowa;ulica Melonowa;81;33;29.05.1994;94052992928
Tymoteusz;POLTAVSKYI;Rąbczyn;ulica Gościnna;67;34;04.01.1979;79010463977
Adam;BRZUŚNIAN;Ruda Szczutkowska;ulica Konik Polny;66;35;25.09.1982;82092589027
Aleksandra;KRÓLCZAK;Łazy;ulica Wygon;44;47;23.04.1962;62042310506
Maria;TYSCHENKO;Milerówka;ulica Gościniec;75;67;26.07.1971;71072692601
Kamil;ZHUHAN;Czanieccy;ulica Zygmunta Noskowskiego;69;74;23.07.1918;18072372514
Jagoda;LUBOJAŃSKI;Pieńki Kościelskie;ulica Starego Doktora;92;73;22.03.1927;27032233439
Łucja;BZIOM;Majorat-Zaródcze;ulica Ziemska;80;60;25.06.1981;81062571296
Weronika;MOKYCH;Kolonia;ulica Mahoniowa;30;33;01.04.1971;71040166026
Dominik;HERSHUN;Rola;Aleja Tomasza Hopfera;61;47;01.12.1914;14120190173
Maciej;GOERIG;Woźniki;ulica Śląska;97;46;14.09.1964;64091454946
Liliana;KARUNOS;Brożynówka;ulica Kretonowa;95;20;17.08.1978;78081740823
Jagoda;SPETSIALNA;Wartogłowiec;ulica Zbyszka Cybulskiego;88;90;13.06.1988;88061357150
Iga;HYCHAK;Podrybnicze;ulica Żonkilowa;6;46;30.07.1933;33073097767
Wiktoria;ROLLER;Szyszki-Folwark;ulica Lakowa;51;20;22.08.1937;37082255355
Łucja;PEROZOK;Samlowiec;ulica Kingi;90;16;05.04.1944;44040540042
Nikola;LOMOTT;Dłużyna;ulica Wilczy Dół;79;72;17.12.1945;45121733302
Wiktoria;BUZDYHAN;Budki;ulica Buska;44;28;14.09.1918;18091492910
Aleksander;NEDORUIEV;Buk;ulica Lutocińska;55;11;07.12.1926;26120772234
Kinga;ŁYSIAK-KOWALCZYK;Młyniska;ulica Fajna;93;62;13.09.1994;94091339902
Małgorzata;KUKULA;Kamionka;ulica Pińczowska;66;99;22.05.1927;27052223706
Amelia;BEUTH;Wrotków;ulica Stanisława Hozjusza;45;95;16.04.1937;37041670935
Marta;KUCZERYNA;Krupe;ulica Józefa Elsnera;42;99;17.11.1980;80111714779
Liliana;MOKRZEC;Rosołów;ulica Augustyna Kordeckiego;34;14;14.11.1907;07111465207
Bartosz;OTA-KOZIK;Na Łazy;ulica Wolność;55;53;07.02.1987;87020728633
Wiktoria;ISZTWAN;Błenna B;ulica Wyględowska;55;15;07.02.1980;80020753843
Maksymilian;RISNER;Trzechel;ulica Włodzimierza Majakowskiego;37;28;10.03.1938;38031034982
Klaudia;GANSEWSKA;Apolonka;ulica płk. Kazimierza Leskiego;65;94;09.10.1950;50100970450
Laura;ADRJAŃCZYK;Cieciórki Włościańskie;ulica Papirusów;9;15;15.11.1961;61111554578
Karol;LECHONIEWICZ;Fajsławice;ulica Madziarów;18;40;20.12.1981;81122096402
Tymoteusz;HERCYK;Trzciniec;ulica Jerzego Bajana;66;74;19.10.1927;27101967425
Marcel;WAJNDLING;Krze Duże;ulica Kalinowska;60;13;28.06.1926;26062836331
Patrycja;BNIN-BNIŃSKA;Małęcka Droga;ulica Sękocińska;68;6;19.04.1939;39041922759
Jagoda;JAKUBIAK;Kisiele;ulica Białej Wody;81;11;14.09.1925;25091447788
Krzysztof;KURZYNKO;Gąsienice;Skwer Stanisława Broniewskiego „Orszy”;57;100;11.04.1967;67041165675
Izabela;CHONDZYŃSKA;Malice;ulica Białoborska;88;72;15.07.1932;32071593906
Zofia;SECHMAN;Dzierżno;ulica Bazyliańska;92;51;15.01.1995;95011584296
Amelia;LIMECKA;Słup;ulica Agawy;99;66;23.06.1965;65062398874
Paweł;DEWILLE;Gać;ulica Środkowa;35;72;03.03.1985;85030361520
Franciszek;RAKHMANKO;Glinice;ulica Kwitnąca;3;33;02.12.1966;66120265202
Łucja;CYWINSKA;Karasiówka;ulica Fletniowa;19;95;14.01.1929;29011453970
Blanka;STRUZYNA;Żakowice;ulica Dzikich Jabłoni;67;7;01.09.1928;28090185977
Oskar;WLAŹLACKI;Sielinko;ulica Łozinowa;2;33;06.07.1959;59070669429
Oskar;TRONOWICZ;Romanówka;ulica Bystrzycka;51;40;09.02.1954;54020978703
Mateusz;LABISZAK;Bartoszewo;ulica Jabłeczna;95;26;03.01.1951;51010339079
Krystian;TSEBRYK;Kolonia Świderska;ulica Karabeli;25;60;29.07.1946;46072986755
Marta;BULAIENKO;Pustkówko;ulica Baborowska;97;92;08.09.1941;41090845267
Oskar;AKINTUNDE;Dziadówki;ulica Szewska;53;85;19.09.1907;07091959761
Dominika;LUBERACKA;Bodzewko Drugie;ulica Jana Szymczaka;8;13;13.04.1979;79041365834
Maja;RABINOVITCH;Radomka;ulica Karabeli;35;7;27.06.1956;56062740376
Franciszek;BAŁOS;Mąkoszyce;ulica Grzegorza Piramowicza;26;13;16.12.1922;22121646892
Hubert;TESZBIR;Łężyska;ulica Lalki;59;55;03.08.1967;67080316479
Agata;BAŁUCZYŃSKA;Osiny;ulica Astry;31;42;22.12.1957;57122269314
Nikola;FLENZ;Mikulsko;ulica Stanisława Bodycha;58;88;17.02.1969;69021791375
Marcel;CZICHON;Galicja;Aleja Andrzeja Panufnika;23;65;02.09.1991;91090287978
Ignacy;RAPLIS;Dębiec;ulica Franciszka Hynka;56;4;21.11.1925;25112134281
Julia;TSVYK;Dwór;ulica Pszczela;43;99;12.08.1999;99081254172
Paweł;LUK'YANCHUK;Zarowie;ulica Stefana Żeromskiego;69;45;02.02.1941;41020260790
Emilia;SANDMANN;Klikuszowa;ulica Daglezji;62;39;02.04.1920;20040234273
Miłosz;HUBKIEWICZ;Krzęcinek;ulica Stanisława Noakowskiego;19;82;21.05.1920;20052117019
Barbara;CHAPUIS;Florkówka;ulica Pułtuska;67;100;18.09.1987;87091836945
Błażej;KAPRAL-TYTYN;Lesk;ulica Połaniecka;93;17;09.11.1994;94110913992
Paulina;SKARBUTOWICZ;Boreczek;ulica Wiejska;28;38;28.11.1941;41112814531
Karolina;EL-HELOU;Wiry;Plac Bociani Zakątek;5;36;05.11.1990;90110524136
Maciej;WASKOWICZ-KULCZYCKI;Dubielówka;ulica Trojaka;7;10;12.11.1948;48111252968
Ewa;IWAŃCIO;Podżydów;ulica Podborska;28;82;29.06.1952;52062953242
Łucja;KASIRER;Małe Gacno;ulica Łopianowa;18;72;15.12.1946;46121548613
Paulina;CHADRYCKI;Borowe Pole;ulica Literacka;14;64;06.02.1977;77020680579
Paulina;PAWŁOWSKA-ROJEK;Smolany Sadek;ulica Polki;75;55;07.03.1987;87030786500
Paweł;HACHYNSKYI;Sroki;ulica Koźla;71;43;10.03.1919;19031011570
Izabela;BARAKEH;Grądy;ulica Konstantego Ciołkowskiego;28;66;17.12.1971;71121741070
Kacper;TABOŁ;Wyszakowskie Huby;ulica Jasna;74;52;28.06.1998;98062826047
Ignacy;ASTAKHOV;Czerwonki;Skwer Gwary Warszawskiej;32;33;28.01.1985;85012818075
Gabriel;CHORNOPYSKYI;Wierch Kurucowy;ulica Trojańska;2;15;25.06.1930;30062597544
Mikołaj;GORSHKOV;Sukowate;ulica Wodniaków;83;71;17.08.1979;79081768417
Piotr;DINEW;Turka;Skwer Anki Kowalskiej;54;94;17.09.1953;53091727938
Małgorzata;TUVICHENKO;Szymanowice;ulica Strumień;8;11;01.10.1909;09100148703
Kinga;PIEROSZCZUK;Szerokie;ulica Kwiatowa;94;4;11.07.1927;27071155960
Jagoda;AUGUET;Kierzkówka-Kolonia;ulica Tytułowa;93;40;03.11.1913;13110327441
Nadia;SZTREKER-WÓJCIK;Wychódźc;ulica Ustronna;38;53;15.08.1910;10081546138
Gabriela;CONKAŁA;Wujówka;Skwer Batalionu AK „Zaremba-Piorun”;87;30;23.11.1974;74112376281
Aleksander;BRESINSKI;Cisowy Dział;ulica Szturmowa;38;86;28.12.1935;35122856133
Laura;APPEL;Sawino;ulica Przedświt;76;4;18.03.1986;86031824235
Dawid;MOLKO;Czerniewice-Majątek;ulica Leonarda;72;76;03.03.1925;25030332287
Izabela;ALEXANDROFF;Pod Rypin;ulica Popularna;16;35;21.02.1927;27022168075
Weronika;SKAZHENIUK;Karczownia;ulica Zagórna;14;11;26.08.1960;60082624654
Pola;FARGHALY;Potyry;ulica Szlachecka;54;97;14.09.1956;56091476875
Paulina;STORCHAI;Gawrony;ulica Kuligowska;84;98;02.06.1987;87060242931
Emilia;KARABASH;Lubstów;ulica Szarych Szeregów;50;89;26.10.1967;67102684686
Nikodem;VUJNOVIĆ;Pękalówka;ulica Siodlarska;52;95;27.06.1909;09062729965
Nikodem;USZAK;Podrogowie;ulica Tytusa Chałubińskiego;21;21;03.06.1947;47060319427
Marcelina;FYCZOK;Biała-Kopiec;ulica Grupy AK „Krybar”;13;66;12.11.1949;49111215960
Nina;MAZUR-NISZCZOTA;Pokrzywianka Dolna;Plac Trzech Krzyży;79;43;06.12.1944;44120611477
Błażej;PENK;Kolonia;ulica Łucka;29;74;02.04.1946;46040263587
Maciej;DARAFEICHYK;Szyce;ulica Jagiellońska;38;74;09.08.1960;60080963304
Antoni;SAMARDAK;Biały Ług;ulica Sygnałowa;22;11;10.10.1938;38101016536
Krzysztof;CHACZATRIAN;Poddziale;ulica Henryka Rodakowskiego;13;33;09.05.1957;57050981317
Kacper;LADDACH;Rosochacz;ulica Kokosowa;57;60;21.11.1906;06112191008
Tomasz;SVENDSEN;Jankowice;ulica Szturmowa;62;82;09.05.1958;58050942775
Fabian;GOBIEC;Żurawiec;ulica Zachodu Słońca;91;42;21.02.1972;72022179900
Michał;ŁAPAJERSKI;Majdan;ulica Stalowa;26;71;13.08.1983;83081351144
Piotr;MAŁAGODZKI;Polwica;ulica Ołycka;69;32;15.04.1950;50041578856
Izabela;PLISCHKA;Dobrzewy;ulica Dzika;66;85;16.06.1992;92061657262
Alan;NIKOLAIDI;Osada Leśna;ulica Mroźna;25;8;01.12.1963;63120137199
Sebastian;TOBOREK;Dunaj;ulica Piwoniowa;98;22;01.10.1999;99100142889
Miłosz;RODZIK;Grabarka;Pasaż Wacława Niżyńskiego;10;11;09.10.1998;98100956000
Miłosz;BYCZ;Swojczany;ulica Marcelińska;32;90;24.07.1950;50072453836
Małgorzata;BUGLA;Żębocin;ulica ks. Jerzego Popiełuszki;93;89;20.02.1921;21022041869
Mikołaj;SUKALSKI;Lądy;ulica Ludwika Rydygiera;84;59;02.10.1989;89100229818
Laura;ZWATYKANICZ;Parcela;ulica Dworska;10;57;27.05.1925;25052786612
Tomasz;CHABRYN;Nowopole;ulica Ireny Kosmowskiej;55;71;05.10.1995;95100555222
Nina;COŁOKIDZI;Wilchwy;ulica Wczele;45;49;07.11.1982;82110764541
Aleksandra;DĄBA;Wężewo;ulica Pachnąca;98;84;27.01.1950;50012781646
Marcin;JEWIERSKI;Knyszów;ulica Pustułeczki;92;47;08.09.1908;08090860469
